received_times,all_data.zipcode_of_incident,all_data.unit_type
744.45,94102,ENGINE
773.65,94102,MEDIC
744.45,94102,TRUCK
530.7833333,94102,MEDIC
799.4666667,94102,MEDIC
719.6666667,94102,ENGINE
736.75,94102,MEDIC
1284.066667,94102,ENGINE
625.7833333,94102,MEDIC
1223.05,94102,MEDIC
1112.066667,94102,MEDIC
277.5,94102,PRIVATE
990.1333333,94102,ENGINE
852.7833333,94102,MEDIC
711.35,94102,PRIVATE
515.2,94102,MEDIC
207.65,94102,MEDIC
909.95,94102,ENGINE
903.3,94102,CHIEF
546.7666667,94102,PRIVATE
946.3333333,94102,MEDIC
836.3,94102,ENGINE
949.05,94102,MEDIC
977.65,94102,MEDIC
295.6,94102,TRUCK
1021.416667,94102,CHIEF
1183.85,94102,MEDIC
653.8833333,94102,ENGINE
427.8666667,94102,ENGINE
818.4666667,94102,ENGINE
507.1833333,94102,TRUCK
296.6833333,94102,MEDIC
1021.416667,94102,ENGINE
744.45,94102,MEDIC
503.75,94102,ENGINE
750.6666667,94102,MEDIC
662.9666667,94102,PRIVATE
1371.883333,94102,RESCUE CAPTAIN
662.9666667,94102,ENGINE
240.6833333,94102,MEDIC
476.4333333,94102,ENGINE
603.2666667,94102,MEDIC
1142.233333,94102,ENGINE
1142.233333,94102,TRUCK
744.45,94102,CHIEF
443.6333333,94102,ENGINE
1117.1,94102,ENGINE
702.2333333,94102,PRIVATE
264.05,94102,PRIVATE
977.65,94102,MEDIC
515.2,94102,ENGINE
267.2666667,94102,PRIVATE
608.9666667,94102,PRIVATE
476.4333333,94102,MEDIC
1121.15,94102,PRIVATE
353.1166667,94102,PRIVATE
1197.333333,94102,ENGINE
719.6666667,94102,MEDIC
1326.466667,94102,ENGINE
711.35,94102,ENGINE
47.95,94102,PRIVATE
818.4666667,94102,MEDIC
932.3833333,94102,ENGINE
653.8833333,94102,MEDIC
909.95,94102,CHIEF
507.1833333,94102,ENGINE
1094.45,94102,TRUCK
189.6,94102,RESCUE CAPTAIN
1213.283333,94102,MEDIC
1197.333333,94102,PRIVATE
927.2666667,94102,TRUCK
295.6,94102,CHIEF
267.2666667,94102,ENGINE
1284.066667,94102,CHIEF
719.6666667,94102,TRUCK
14.95,94102,ENGINE
981.8166667,94102,MEDIC
903.3,94102,PRIVATE
744.45,94102,ENGINE
476.4333333,94102,ENGINE
1117.1,94102,MEDIC
546.7666667,94102,RESCUE CAPTAIN
744.45,94102,ENGINE
189.6,94102,ENGINE
1021.416667,94102,TRUCK
410.9333333,94102,MEDIC
990.1333333,94102,MEDIC
1223.05,94102,ENGINE
932.3833333,94102,MEDIC
410.9333333,94102,ENGINE
753.2,94102,PRIVATE
1112.65,94102,MEDIC
1094.45,94102,ENGINE
702.2333333,94102,TRUCK
1213.283333,94102,ENGINE
47.95,94102,ENGINE
702.2333333,94102,ENGINE
902.6666667,94102,PRIVATE
295.6,94102,ENGINE
1112.066667,94102,MEDIC
1371.883333,94102,ENGINE
